id,topic,title_zh,title_en,author_or_speaker,slides,pptx_path,pdf_path,pptx_bytes,pdf_bytes,pptx_sha256,pdf_sha256,redistribution_status,authorization_date
D1,01-foundations,生态位模型的原理与应用（一）,The Principles and Applications of Ecological Niche Model I,乔慧捷,39,01-foundations/D1_ENM-Principles-and-Applications-1.pptx,01-foundations/D1_ENM-Principles-and-Applications-1.pdf,45756236,8358782,5c3f64491de5bef616d2367d72d8465715e52c6e5b385dbed4753f1c00dee136,42033650c04e478b9fafa44b6e82bf330e7fbeea053a54519da200e14510eb04,authorized-for-publication,2026-09-24
D2,01-foundations,生态位模型的原理与应用（二）,The Principles and Applications of Ecological Niche Model II,乔慧捷,26,01-foundations/D2_ENM-Principles-and-Applications-2.pptx,01-foundations/D2_ENM-Principles-and-Applications-2.pdf,10338958,5092839,a59f0b9ad48a4b4c914f0a78a8458404b06c7c8c523390e702f5f69a5950be49,5a4761ecbf37d0d46779a0129f18dbd00c5dd3e128cf2408cd6141c5b34c7ae3,authorized-for-publication,2026-09-24
D3,01-foundations,生态位模型的原理与应用（三）,The Principles and Applications of Ecological Niche Model III,乔慧捷,14,01-foundations/D3_ENM-Principles-and-Applications-3.pptx,01-foundations/D3_ENM-Principles-and-Applications-3.pdf,7635636,4324588,f19c9db54eb8078c1a3279fab75fa793e707d72cd4923e7760056ddc8f66aa0b,86d3244c82e4e1e5a7b7144c9c18dc10123e3b7132303c84fbad57de22fea76e,authorized-for-publication,2026-09-24
CMT-001,02-data-and-predictors,SDM 环境变量,Variables for SDM,朱耿平,41,02-data-and-predictors/CMT-001_Variables-for-SDM.pptx,02-data-and-predictors/CMT-001_Variables-for-SDM.pdf,7042326,4310036,0aaff81325ec3833a40c000a5e2cdf791ac905c7bd236d35ffed3c28063d9296,9b2de55aabcfca3a662d95ffa2137a0feed5f3ffc5d819cf5d156204b851ecf9,authorized-for-publication,2026-09-24
CMT-002,02-data-and-predictors,使用 GEE 准备 SDM 环境变量,GEE Variables for SDM,朱耿平,12,02-data-and-predictors/CMT-002_GEE-Variables-for-SDM.pptx,02-data-and-predictors/CMT-002_GEE-Variables-for-SDM.pdf,3316920,1107066,dc92d969fd3950a0f7c85acc9247ec63969cb6bd4f052aee9d04a7770b686695,340e036a43a1d40496134253e0a5a0a85b3cebc1d8d140a68984eb649e614eb7,authorized-for-publication,2026-09-24
CMT-006,02-data-and-predictors,出现数据与模型策略,Occurrence Data—Model Strategy,朱耿平,36,02-data-and-predictors/CMT-006_Occurrence-Data-Model-Strategy.pptx,02-data-and-predictors/CMT-006_Occurrence-Data-Model-Strategy.pdf,11687497,4005277,ddf4bd6dd2b55a1ebcf5c037c0c08c64a7de2964b3df8e36c67e7bcd0ea8530a,93a2f4d9a2ec3e73c8a18a05b79802bf1b6d4c2fccc3b7425a82c41517048a79,authorized-for-publication,2026-09-24
CMT-004,03-modeling-and-tools,在 Shiny 中运行 SDM,SDM in Shiny,朱耿平,13,03-modeling-and-tools/CMT-004_SDM-in-Shiny.pptx,03-modeling-and-tools/CMT-004_SDM-in-Shiny.pdf,1680542,907217,985d200fef6d0b15ac2598775a99d6e5f4083062e9bcc6e667b8a69df3f6bd57,b354a0311395b265b0958c79365069a5d45e06211621e7faeb97f293bbbdc5b2,authorized-for-publication,2026-09-24
CMT-010,03-modeling-and-tools,集成模型,Ensemble Model,朱耿平,28,03-modeling-and-tools/CMT-010_Ensemble-Model.pptx,03-modeling-and-tools/CMT-010_Ensemble-Model.pdf,6321403,2698591,52409f2526372d7aea641aca2a0ce69990c32629e32de24b849465c83f169b38,c68135d9e80353e321e43a22156e39d969fdb0d111cdbbab5af11abd6ba734e3,authorized-for-publication,2026-09-24
CMT-005,04-evaluation-and-reporting,模型阈值与评价,Model Threshold and Evaluation,朱耿平,38,04-evaluation-and-reporting/CMT-005_Model-Threshold-and-Evaluation.pptx,04-evaluation-and-reporting/CMT-005_Model-Threshold-and-Evaluation.pdf,3293829,1771393,a8534ef017ee19e40faa0e07b72f438c3b901ff0794447d7e228af89791f84b8,10fcd2ab2af291187b89f3816ff5737e6389ac9258485cc2e0cd5be4ed38d3e1,authorized-for-publication,2026-09-24
D4,04-evaluation-and-reporting,ODMAP 标准报告协议,The ODMAP Protocol,乔慧捷,6,04-evaluation-and-reporting/D4_ODMAP-Protocol.pptx,04-evaluation-and-reporting/D4_ODMAP-Protocol.pdf,477281,596153,0381e9d4b8532275fb728a59e5d2b1f97ab820c07961f536fbe65912e5ff598a,4bcffd9f54adcbe3b61e67ed93d6086251c5e52580996315b3c0d0c9317a2238,authorized-for-publication,2026-09-24
Dx,05-scale-and-projection,生态学和进化生物学中的尺度问题,Scale in Ecology and Evolution,乔慧捷,25,05-scale-and-projection/Dx_Scale-in-Ecology-and-Evolution.pptx,05-scale-and-projection/Dx_Scale-in-Ecology-and-Evolution.pdf,42171332,6803074,75fc7f66d6620bc7231108b9fb8fdf44ca59911b4523229b2a5e06caa0d90532,2dab1af09d7f5e8e8556e4c766bc60608d37263dcfd1c334d17e6d762c7c1950,authorized-for-publication,2026-09-24
Dy,05-scale-and-projection,地图投影,Map Projections,乔慧捷,14,05-scale-and-projection/Dy_Map-Projections.pptx,05-scale-and-projection/Dy_Map-Projections.pdf,19639103,3482776,31c20731f83df6816f5e0f8e6e6eaba3522fa0ccb54b3d39bf583952804998f4,ec055030cb126efc5ebbaae2e20e80ee129d040d3df97a18c895c3733f67e7fa,authorized-for-publication,2026-09-24
dispersalENM,06-dispersal,扩散在 SDM 中的应用,Dispersal in SDM,乔慧捷,9,06-dispersal/dispersalENM_Dispersal-in-SDM.pptx,06-dispersal/dispersalENM_Dispersal-in-SDM.pdf,7070708,2281092,b5da20df548cc7c7baafab9c2e58f8ebf08d2bf7ecb29d4b8f04b9036c26fbc3,449326c2499cb9e660efe73160ed604ffee19d8816f4333c490687ca8099b519,authorized-for-publication,2026-09-24
